date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:21	524868/524868	---M-Z	200	added ('OK')	font/opentype	etag:W/%22361e3cdb404f61f434231fc1f7c77759897bc540%22	https://use.typekit.net/af/e45fab/00000000000000007735a3ab/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i5&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/e45fab/00000000000000007735a3ab/30/a0dca	(from https://use.typekit.net/njp4uhl.css)
15:39:21	220508/220508	---M--	200	added ('OK')	application/font-woff	etag:%22f0b06906a72684d2c4f437c08e4289b1b4419698%22	https://use.typekit.net/af/3f4c3a/00000000000000007735a3a9/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n5&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/3f4c3a/00000000000000007735a3a9/30/da2f9	(from https://use.typekit.net/njp4uhl.css)
15:39:21	181280/181280	---M--	200	added ('OK')	application/font-woff2	etag:%22c5b93f748f745f6171f8d85a520246c9ae8f54c7%22	https://use.typekit.net/af/ddc6f6/00000000000000007735a3ad/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/ddc6f6/00000000000000007735a3ad/30/l0ac7	(from https://use.typekit.net/njp4uhl.css)
15:39:21	215216/215216	---M--	200	added ('OK')	application/font-woff	etag:%22c5b93f748f745f6171f8d85a520246c9ae8f54c7%22	https://use.typekit.net/af/ddc6f6/00000000000000007735a3ad/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/ddc6f6/00000000000000007735a3ad/30/d0ac7	(from https://use.typekit.net/njp4uhl.css)
15:39:23	501136/501136	---M-Z	200	added ('OK')	font/opentype	etag:W/%22c5b93f748f745f6171f8d85a520246c9ae8f54c7%22	https://use.typekit.net/af/ddc6f6/00000000000000007735a3ad/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/ddc6f6/00000000000000007735a3ad/30/a0ac7	(from https://use.typekit.net/njp4uhl.css)
15:39:24	226148/226148	---M--	200	added ('OK')	application/font-woff	etag:%229547ace8d42d46f6076e4edd5119f887824d4bf7%22	https://use.typekit.net/af/dd7c06/00000000000000007735a3af/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/dd7c06/00000000000000007735a3af/30/d00c0	(from https://use.typekit.net/njp4uhl.css)
15:39:25	190332/190332	---M--	200	added ('OK')	application/font-woff2	etag:%229547ace8d42d46f6076e4edd5119f887824d4bf7%22	https://use.typekit.net/af/dd7c06/00000000000000007735a3af/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/dd7c06/00000000000000007735a3af/30/l00c0	(from https://use.typekit.net/njp4uhl.css)
15:39:25	186296/186296	---M--	200	added ('OK')	application/font-woff2	etag:%22accc8a6dd668e5081a773836d5a8d90b1e5027dd%22	https://use.typekit.net/af/175b25/00000000000000007735a3b1/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/175b25/00000000000000007735a3b1/30/l04c7	(from https://use.typekit.net/njp4uhl.css)
15:39:26	222284/222284	---M--	200	added ('OK')	application/font-woff	etag:%22accc8a6dd668e5081a773836d5a8d90b1e5027dd%22	https://use.typekit.net/af/175b25/00000000000000007735a3b1/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/175b25/00000000000000007735a3b1/30/d04c7	(from https://use.typekit.net/njp4uhl.css)
15:39:26	197488/197488	---M--	200	added ('OK')	application/font-woff2	etag:%22b948e63b3ca279cecd4bf995fab01da7b7a61d6d%22	https://use.typekit.net/af/84a20c/00000000000000007735a3b3/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/84a20c/00000000000000007735a3b3/30/l3fe8	(from https://use.typekit.net/njp4uhl.css)
15:39:27	517672/517672	---M-Z	200	added ('OK')	font/opentype	etag:W/%22accc8a6dd668e5081a773836d5a8d90b1e5027dd%22	https://use.typekit.net/af/175b25/00000000000000007735a3b1/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/175b25/00000000000000007735a3b1/30/a04c7	(from https://use.typekit.net/njp4uhl.css)
15:39:27	234484/234484	---M--	200	added ('OK')	application/font-woff	etag:%22b948e63b3ca279cecd4bf995fab01da7b7a61d6d%22	https://use.typekit.net/af/84a20c/00000000000000007735a3b3/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/84a20c/00000000000000007735a3b3/30/d3fe8	(from https://use.typekit.net/njp4uhl.css)
15:39:29	532460/532460	---M-Z	200	added ('OK')	font/opentype	etag:W/%22b948e63b3ca279cecd4bf995fab01da7b7a61d6d%22	https://use.typekit.net/af/84a20c/00000000000000007735a3b3/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/84a20c/00000000000000007735a3b3/30/a3fe8	(from https://use.typekit.net/njp4uhl.css)
15:39:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Feb%202021%2014:39:29%20GMT	https://spotify-top-song.webnode.fr/a-propos/wnd_header.set	G:/discord%20bot/site/top%20song/top%20song/spotify-top-song.webnode.fr/a-propos/wnd_header.8e.delayed	(from https://spotify-top-song.webnode.fr/a-propos/)
